               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,            0.067476,             0.01961,            0.036309,             0.53645,                   1,             0.68333,             0.22294,            0.045774,            0.010237,            0.027302,            0.029526,           0.0065261,           0.0065261
                  78,            0.060899,            0.015549,            0.034422,             0.53645,                   1,             0.68333,             0.22294,            0.045774,            0.010237,            0.027302,            0.028595,           0.0065954,           0.0065954
                  79,            0.057171,             0.01534,            0.034716,             0.53645,                   1,             0.68333,             0.22294,            0.045774,            0.010237,            0.027302,            0.027664,           0.0066643,           0.0066643
                  80,            0.065231,            0.014847,            0.038685,             0.52334,                   1,             0.65833,             0.19569,            0.047067,           0.0097554,            0.026387,            0.026733,           0.0067328,           0.0067328
                  81,            0.070111,             0.02093,            0.034322,             0.52334,                   1,             0.65833,             0.19569,            0.047067,           0.0097554,            0.026387,            0.025801,           0.0068009,           0.0068009
                  82,            0.059033,            0.018906,            0.033263,             0.52334,                   1,             0.65833,             0.19569,            0.047067,           0.0097554,            0.026387,            0.024869,           0.0068686,           0.0068686
                  83,            0.061929,            0.014562,            0.032556,             0.47846,             0.96843,             0.60204,             0.21687,            0.050602,           0.0094936,            0.025343,            0.023936,            0.006936,            0.006936
                  84,            0.062526,            0.021245,            0.032027,             0.47846,             0.96843,             0.60204,             0.21687,            0.050602,           0.0094936,            0.025343,            0.023003,           0.0070029,           0.0070029
                  85,            0.066955,            0.014659,            0.032572,             0.47846,             0.96843,             0.60204,             0.21687,            0.050602,           0.0094936,            0.025343,            0.022069,           0.0070694,           0.0070694
                  86,            0.069105,            0.020859,            0.034788,             0.47846,             0.96843,             0.60204,             0.21687,            0.050602,           0.0094936,            0.025343,            0.021136,           0.0071356,           0.0071356
                  87,            0.066212,            0.017244,             0.03277,             0.39483,                   1,             0.58013,             0.15904,            0.045001,           0.0091083,            0.024403,            0.020201,           0.0072013,           0.0072013
                  88,             0.06174,            0.020468,             0.03215,             0.39483,                   1,             0.58013,             0.15904,            0.045001,           0.0091083,            0.024403,            0.019267,           0.0072667,           0.0072667
